state_name;district_name;Total No. of JobCards issued;Total No. of Workers;Total No. of Active Job Cards;Total No. of Active Workers;SC workers against active workers;ST workers against active workers;Approved Labour Budget;Persondays of Central Liability so far;SC persondays;ST persondays;Women Persondays;Average days of employment provided per Household;Average Wage rate per day per person(Rs.);Total No of HHs completed 100 Days of Wage Employment;Total Households Worked;Total Individuals Worked;Differently abled persons worked;Number of GPs with NIL exp;Total No. of Works Takenup (New+Spill Over);Number of Ongoing Works;Number of Completed Works;% of NRM Expenditure(Public + Individual);% of Category B Works;% of Expenditure on Agriculture & Agriculture Allied Works;Total Exp(Rs. in Lakhs.);Wages(Rs. In Lakhs);Material and skilled Wages(Rs. In Lakhs);Total Adm Expenditure (Rs. in Lakhs.)
TELANGANA;Jangaon;118124;236221;82785;175447;38423;29951;1900000;1899324;360291;416449;1263016;36;174.0750036;263;51352;77773;823;0;17876;17290;586;7.37;34;45.42;6003.281546;3306.248322;2510.040515;186.99271
TELANGANA;Jayashanker Bhopalapally;113448;253290;74098;175237;43449;18816;1800000;1555575;387771;240632;854992;34;181.3189324;132;44629;76695;920;0;10200;9745;455;56.48;33;18.03;6374.385865;2820.551983;3351.212092;202.62179
TELANGANA;Kamareddy;264238;514091;188956;372329;74462;45785;2700000;2001054;426926;357225;1165431;24;173.4905106;61;80533;122553;2094;0;14699;13222;1477;34.07;10;30.92;7917.819617;3471.638802;4111.845545;334.33527
TELANGANA;Bhadradri Kothagudem;221347;459737;134157;301624;37288;183739;2800000;3345475;340241;2049174;2064889;41;186.5117489;871;79758;124294;838;0;24016;17343;6673;49.72;51;20.09;11659.54005;6239.703932;4987.47845;432.35767
TELANGANA;Kumram Bheem(Asifabad);121504;244943;91725;196023;33074;69308;2100000;2379110;405059;809788;1273191;41;183.4297657;450;57763;101662;894;0;19127;16565;2562;39.7;43;23.34;8254.294479;4363.995898;3642.688611;247.60997
TELANGANA;Mahabubabad;232547;490193;141284;320180;41087;149520;3100000;3770085;417648;1801593;2137539;38;177.0471622;793;97246;172519;1764;0;24275;17780;6495;54.53;41;27.43;12307.14896;6674.828505;5374.666835;257.65362
TELANGANA;Medchal;20702;22122;7741;8405;2438;438;100000;41266;11625;855;32519;25;256.7639056;10;1635;1665;7;0;1608;1311;297;4.15;9;60.5;389.5019167;105.9561933;253.0413534;30.50437
TELANGANA;Mancherial;131218;255978;83621;177806;57480;27728;1600000;1590494;531256;292424;1022000;34;187.1237654;232;45559;69805;766;0;10598;8407;2191;42.67;20;25.77;5860.159766;2976.192261;2555.888875;328.07863
TELANGANA;Nagarkurnool;199921;386332;111131;230838;62996;38505;2200000;2715012;772671;478235;1765894;39;183.1069135;695;69208;106597;1102;0;23025;20751;2274;21.46;34;59.75;9392.05222;4971.374674;4074.822816;345.85473
TELANGANA;Nirmal;181796;347121;129505;267962;53925;48695;2900000;4089749;831415;916076;2462902;42;194.4861925;1297;96477;163101;1416;0;13599;12608;991;49.06;24;24.6;13470.89898;7953.997114;5224.646611;292.25526
TELANGANA;Peddapalli;123354;252688;75404;168677;37484;4768;1500000;1403850;308375;60421;1005986;31;188.0894608;44;44858;62427;1042;0;10277;8385;1892;31.53;7;38.41;5601.812528;2640.493896;2739.581332;221.7373
TELANGANA;Sangareddy;229006;422475;135555;273047;86009;36472;3200000;4505046;1507408;632449;2737821;47;193.8532256;1199;94267;151032;1389;8;18260;16526;1734;38.4;12;20.42;15476.61418;8733.176988;6283.657497;459.7797
TELANGANA;Rangareddy;173862;290653;112653;203927;62632;30212;1700000;1761178;586772;234206;1194102;37;181.831378;334;46862;65285;914;0;16866;15620;1246;10.24;32;60.79;6741.794567;3202.374226;3095.598071;443.82227
TELANGANA;Siddipet;210664;426652;134753;293632;70698;10453;3000000;2485651;537352;122803;1646139;34;183.1310889;161;72520;107579;1006;3;27425;24566;2859;15.58;51;54.76;10727.26181;4551.999744;5824.160038;351.10203
TELANGANA;Rajanna Sirsilla;98428;201006;65762;142073;38114;13084;1400000;1217379;323948;152080;839503;34;211.476074;61;35799;48909;493;0;10650;9825;825;48.86;12;30.39;5652.371881;2574.465314;2859.321177;218.58539
TELANGANA;Suryapet;290069;638514;183189;427099;90502;79295;3900000;4522674;883729;934339;2707761;32;176.3680025;215;139849;248817;4088;0;24354;22039;2315;13.59;14;61.54;14233.01408;7976.549794;5877.233542;379.23074
TELANGANA;Wanaparthy;147360;301106;77759;171957;29441;18472;1700000;2077689;327044;215345;1408311;42;178.1897651;405;49297;71967;706;0;14534;12129;2405;33.14;27;55.68;6868.917202;3702.22915;2913.354512;253.33354
TELANGANA;Yadadri Bhuvanagiri;154636;288309;94333;188052;41025;19572;1900000;1873633;398359;226576;1469624;31;180.2125871;114;60163;78700;1222;0;16297;14381;1916;14.42;40;54.72;6846.741264;3376.522502;3147.684521;322.53424
TELANGANA;Mulugu;87178;188959;56951;130242;23295;46670;1200000;875518;141972;383560;470823;32;179.8320218;102;27023;44035;276;0;5442;4629;813;34.05;17;17.44;4701.656542;1574.461721;2957.005241;170.18958
TELANGANA;Narayanpet;117227;213540;74289;153236;26871;8830;1400000;1602973;262981;96814;999413;36;184.0491346;288;44056;70021;529;0;13187;12026;1161;30.53;32;51.4;5435.754765;2950.257934;2289.698231;195.7986
TRIPURA;DHALAI;94356;167786;91833;164243;24314;106867;5119582;4022074;510160;2800844;2004248;47;200.5490424;2048;84407;121971;1182;0;27307;19369;7938;18.9;85;50.83;10133.6784;8066.230892;1803.824506;263.623
TRIPURA;Gomati;94269;172719;88950;165390;27817;75422;3517960;2636712;351743;1557928;1380394;36;206.8651613;1041;71412;96185;676;0;25410;20403;5007;12.3;72;53.69;7419.897519;5454.438532;1596.205708;369.25328
TRIPURA;Khowai;73308;122101;70050;117557;24251;55245;2666003;2366958;303283;1579410;1091324;39;205.7675295;952;59821;71858;774;0;22714;15336;7378;13.0;75;54.12;6143.356727;4870.431001;1048.556446;224.36928
TRIPURA;NORTH TRIPURA;75526;132883;71030;127078;20751;41710;2910834;2556692;387727;973857;1211535;41;198.7676262;1943;60939;92618;518;0;22970;17017;5953;5.92;81;49.71;6931.76118;5081.875998;1616.081742;233.80344
TRIPURA;Sepahijala;84197;149839;80678;144599;27457;41801;2909586;2058608;354634;764383;1023084;32;203.7193987;297;63144;83462;1172;0;19255;11045;8210;10.93;87;51.87;5825.019278;4193.783839;1274.547879;356.68756
TRIPURA;SOUTH TRIPURA;100673;187545;95232;179733;25178;68208;3409190;2725330;359012;1133223;1368951;32;206.105015;172;85023;106483;876;0;32455;18678;13777;2.77;75;62.21;7406.468311;5617.041804;1449.999977;339.42653
TRIPURA;Unakoti;57554;99968;52951;93668;17908;24173;1903018;1683527;288137;518870;840058;39;193.9148689;885;42411;61710;732;0;16426;12533;3893;8.82;87;37.11;4332.107651;3264.609175;884.9025753;182.5959
TRIPURA;WEST TRIPURA;102103;170460;92367;153389;31426;59480;2563827;2021587;340544;1022936;1023786;27;201.0522078;78;72430;84890;1202;0;32396;20766;11630;10.12;78;47.37;5727.60787;4064.445297;1354.006183;309.15639
UTTAR PRADESH;BIJNOR;276848;390307;207134;304463;128042;794;3583852;2117018;801364;6451;650765;20;227.7054301;174;103832;124336;221;9;27470;23394;4076;18.23;33;44.25;7107.397536;4820.564941;2173.528005;113.30459
UTTAR PRADESH;MORADABAD;215610;291757;132732;188115;40459;142;2219027;1794651;353522;1378;508739;30;235.7324923;121;58773;68512;149;3;16995;14497;2498;15.44;30;58.36;5639.482526;4230.57553;1377.361486;31.54551
UTTAR PRADESH;RAMPUR;182762;222054;121444;151997;31122;176;2260551;2020280;351300;1898;463400;34;226.982096;354;57927;64921;165;5;18671;15351;3320;29.55;28;30.79;9011.211062;4585.67389;4347.905822;77.63135
UTTAR PRADESH;SAHARANPUR;169141;233227;109151;159705;74439;377;1582655;868323;367969;2729;347228;20;233.1486131;35;43232;49983;108;3;19170;18089;1081;19.17;29;51.38;3228.895889;2024.483032;1163.316807;41.09605
UTTAR PRADESH;MUZAFFARNAGAR;105796;124550;47792;56508;16953;125;742112;459706;133385;679;177686;29;229.4720539;68;15658;17406;33;5;7988;7341;647;48.58;20;35.05;1378.328714;1054.8968;310.9699836;12.46193
UTTAR PRADESH;MEERUT;63994;75971;31885;38924;17223;200;493498;344030;153366;1042;132872;32;235.0625619;2;10697;11674;18;14;6493;6072;421;4.36;16;64.4;1188.439171;808.6857317;376.6678697;3.08557
UTTAR PRADESH;GHAZIABAD;16440;24169;45;54;11;0;110;97;3;0;0;12;358.2164948;0;8;8;0;160;29;29;0;0.0;24;100.0;0.34747;0.34747;0.0;0.0
UTTAR PRADESH;BULANDSHAHR;92065;105881;56321;65118;13245;58;540104;398271;64572;149;134562;25;234.781257;16;15620;16564;21;47;11309;11074;235;31.0;22;46.07;1602.337067;935.06566;657.6473269;9.62408
UTTAR PRADESH;ALIGARH;246114;310836;153787;199206;50039;300;1962380;1768674;430504;2506;478965;27;233.7774627;187;65305;72413;147;3;22303;19847;2456;32.54;26;46.46;6785.359951;4134.761201;2582.07979;68.51896
UTTAR PRADESH;MATHURA;153803;219302;109725;158170;47843;375;1826333;1562110;427632;2609;621167;31;233.9149974;93;49019;60659;74;26;14770;13116;1654;24.03;8;50.11;5920.383569;3654.009566;2215.770383;50.60362
UTTAR PRADESH;AGRA;180645;250318;135138;193682;58123;1294;3247779;3150671;871829;20563;1246583;40;232.8938179;995;78269;99121;202;6;21482;19453;2029;21.2;41;52.45;9585.366884;7337.71798;2134.333224;113.31568
UTTAR PRADESH;FIROZABAD;177774;203017;110010;125556;37453;179;2232745;2354622;654028;2459;974709;38;231.086634;166;60401;63336;121;8;19126;16503;2623;21.76;30;51.96;8575.402145;5441.216723;3067.384372;66.80105
UTTAR PRADESH;ETAH;182726;237481;107203;143800;29887;48;1703370;1768721;311170;359;622568;35;230.8943782;262;49600;55062;112;3;20859;16107;4752;29.18;33;37.56;6412.706607;4083.877355;2247.261843;81.56741
UTTAR PRADESH;MAINPURI;233070;308130;136688;189144;53333;405;2186127;2194271;569485;3264;806432;35;231.1966235;550;61224;71515;139;3;23266;20134;3132;19.11;41;44.77;6506.508467;5073.080462;1351.909865;81.51814
UTTAR PRADESH;BUDAUN;228843;269795;158282;191916;40921;177;2422724;1504842;307684;1458;448687;28;233.5862556;50;53011;58431;204;14;30321;27499;2822;9.55;44;45.62;4902.973053;3515.10408;1285.831213;102.03776
UTTAR PRADESH;BAREILLY;286297;390000;215055;308183;65922;253;3320819;2252345;437957;2034;545982;26;233.3472505;268;84556;102005;851;3;36529;32081;4448;18.57;47;42.54;6631.634573;5255.785129;1268.178784;107.67066
UTTAR PRADESH;PILIBHIT;246772;355788;171041;262979;49515;542;2688721;1838101;280512;2620;728267;27;235.4450037;65;67496;80779;387;2;30192;26847;3345;21.66;53;19.75;6988.48195;4327.716967;2568.454263;92.31072
UTTAR PRADESH;SHAHJAHANPUR;318076;423254;202159;285333;77712;192;2687911;1931996;445500;1384;593694;27;233.0261654;52;69155;83160;341;3;40214;37789;2425;21.65;57;19.77;6737.653676;4502.056195;2037.678572;197.91891
UTTAR PRADESH;KHERI;474587;651539;337954;486035;166564;8568;4608811;4090791;1247536;58247;1194017;33;230.8850645;919;121492;146872;456;2;53348;41417;11931;19.68;58;33.45;14537.76085;9445.025438;4902.896148;189.83926
UTTAR PRADESH;SITAPUR;609129;871665;416307;626217;243854;988;7145898;5965533;1917999;11172;2083217;36;236.3825872;1193;162216;201773;740;4;80008;67336;12672;26.43;64;29.13;22256.04093;14101.48124;7877.540463;277.01922
UTTAR PRADESH;HARDOI;477598;574372;293745;367616;133069;495;4422458;4192353;1400606;5083;1127957;35;236.7135722;148;118961;129754;228;4;55712;47924;7788;24.39;47;27.29;14698.43941;9923.868544;4529.143793;245.42707
UTTAR PRADESH;UNNAO;296591;370386;184194;242009;81944;480;2388668;2195886;653277;2879;811082;35;230.5470765;317;62320;68847;151;1;30439;25320;5119;43.76;44;21.57;6754.459746;5062.550976;1584.027021;107.88175
UTTAR PRADESH;LUCKNOW;153815;209757;82558;121893;78614;349;960289;683815;412136;1983;241573;28;233.1862726;42;23644;27558;100;5;14899;13629;1270;17.01;36;28.74;3032.969114;1594.56271;1350.162844;88.24356
UTTAR PRADESH;RAE BARELI;321685;472873;230112;359618;121863;992;3071132;2179052;664159;6228;1012711;28;226.2731644;235;75498;90067;195;3;44193;31084;13109;22.0;45;24.49;11228.81334;4930.609913;6097.49556;200.70787
UTTAR PRADESH;FARRUKHABAD;122584;140708;88901;103674;14325;151;1504504;1248425;129276;1965;345186;33;232.4525318;230;36760;39337;53;8;20115;18464;1651;28.04;42;34.01;5054.717075;2901.99552;2070.642585;82.07897
UTTAR PRADESH;ETAWAH;154752;192021;104962;135568;49362;202;1611970;1209196;403002;2251;342240;30;234.4567887;194;39076;43390;96;0;15928;13703;2225;28.99;34;27.58;4259.443978;2835.042111;1362.047478;62.35439
UTTAR PRADESH;KANPUR DEHAT;153132;201682;103284;140105;52994;901;1384872;1112143;392886;7509;360025;28;233.0932254;110;38958;45288;169;3;23754;17946;5808;16.99;47;38.93;3896.07244;2592.32999;1239.79684;63.94561
UTTAR PRADESH;KANPUR NAGAR;113579;151821;72197;102386;40924;1450;1085561;758599;266136;9568;237947;29;233.0521364;72;25697;29625;174;0;16570;15238;1332;22.25;37;36.86;2250.336213;1767.931176;417.1001872;65.30485
UTTAR PRADESH;JALAUN;229119;350281;184183;290128;91625;424;5383511;5458295;1550807;6979;2079301;45;229.305635;1835;119065;160143;505;1;29790;23683;6107;48.79;44;20.84;15937.46242;12516.17801;3296.008484;125.27593
UTTAR PRADESH;JHANSI;185810;302109;133539;224978;78237;1933;2938462;2928981;909370;24373;1192055;48;229.9796734;1982;60136;83964;272;2;24143;21603;2540;29.43;50;35.75;9188.345412;6736.060938;2367.785634;84.49884
UTTAR PRADESH;LALITPUR;189751;316468;146042;251061;58992;18514;2649747;2559200;499330;146232;1119844;36;230.3053117;957;70324;98064;169;0;32400;25846;6554;24.33;67;28.11;10304.78201;5893.973537;4318.304631;92.50384
UTTAR PRADESH;HAMIRPUR;170496;280323;124199;210037;51834;101;2467085;2439586;482267;858;1056027;42;228.0024261;1245;57734;80453;118;0;21572;19490;2082;18.78;59;48.36;7670.672996;5562.315266;2035.68871;72.66902
UTTAR PRADESH;BANDA;232195;381520;155598;269798;71943;214;2135479;2083795;392480;2621;1060838;37;233.2793991;435;55254;73788;73;2;40227;34131;6096;15.95;78;39.4;6194.310861;4861.064454;1234.861927;98.38448
UTTAR PRADESH;FATEHPUR;277731;346563;180142;234115;94552;183;2728409;2537145;801377;2440;1231115;35;239.7867427;185;71095;78840;269;14;44510;39393;5117;14.25;67;28.99;8576.08696;6083.737354;2291.292016;201.05759
UTTAR PRADESH;PRATAPGARH;396458;457115;236644;278288;108737;673;3695106;3591095;1145097;10693;1956612;38;229.4275591;697;92132;96495;88;29;57633;47596;10037;17.33;60;30.95;11288.74971;8238.961603;2858.634095;191.15401
UTTAR PRADESH;PRAYAGRAJ;457171;641444;298914;440993;202449;335;3778175;3938129;1477319;3258;2028153;37;232.6709279;592;104767;128533;220;27;72585;59508;13077;26.62;65;20.76;13847.03582;9162.881285;4460.884788;223.26975
UTTAR PRADESH;BAHRAICH;415645;519650;305075;394241;63485;2897;7304661;6979018;892362;50321;3218059;44;230.7944961;3387;157024;182040;170;10;74271;63959;10312;14.24;64;29.57;20724.77542;16107.18942;4228.589563;388.99643
UTTAR PRADESH;GONDA;395408;457203;210754;252133;52663;551;3272641;2875502;502064;5969;1382013;37;233.7118465;243;76729;82665;118;16;38577;33823;4754;30.9;51;26.57;9297.017759;6720.38882;2470.033539;106.5954
UTTAR PRADESH;BARABANKI;376913;496590;251855;348981;136041;244;4709544;4282951;1531006;4058;1541822;39;234.6789004;969;109347;128508;260;4;39901;33238;6663;34.27;44;22.47;17075.37706;10051.18231;6831.374543;192.8202
UTTAR PRADESH;AYODHYA;239286;322703;180476;252242;94566;400;2579022;2056522;730990;2916;997815;32;237.6674006;313;63593;70336;91;0;28307;22419;5888;31.59;41;32.63;9986.440577;4887.68238;4975.122857;123.63534
UTTAR PRADESH;SULTANPUR;302938;356591;211967;255770;73226;597;4284861;4246087;991613;11134;2238187;41;229.1193004;804;101465;109399;221;5;45478;41298;4180;22.42;62;26.07;15560.58646;9728.60483;5639.657052;192.32458
UTTAR PRADESH;SIDDHARTH NAGAR;383129;449802;305306;362902;67044;390;7565416;6853518;1243868;6701;3836931;38;232.3388119;722;177698;195004;250;11;32605;27088;5517;34.52;23;23.17;25427.74248;15923.38229;9254.856124;249.50406
UTTAR PRADESH;MAHARAJGANJ;366307;520236;270758;401136;87438;2169;4959660;4164851;907176;23318;2042516;31;232.7291768;791;130788;155684;393;0;41568;33095;8473;29.06;46;31.55;18359.14749;9692.823448;8511.684553;154.63949
UTTAR PRADESH;BASTI;445856;568320;326337;424850;91601;255;8298211;7877430;1530870;5385;4023522;42;232.1091979;1334;185262;210543;232;33;44763;35982;8781;36.5;34;40.57;30470.24215;18284.23959;11973.5301;212.47246
UTTAR PRADESH;GORAKHPUR;368570;448671;238150;301265;82571;798;4459774;4166248;1096971;8884;1962963;40;232.6179267;720;102148;111317;137;65;38627;33839;4788;43.83;43;28.54;14758.54261;9691.439718;4856.990623;210.11227
UTTAR PRADESH;DEORIA;218782;246926;156113;179540;41391;5115;2658986;2420406;495266;64052;1000549;36;232.8748809;531;65835;69773;110;60;28396;23003;5393;29.54;29;44.94;7964.270756;5636.51759;2159.690876;168.06229
UTTAR PRADESH;MAU;284953;357163;190561;248704;73917;1799;3370089;3090642;870207;23432;1635567;36;232.9843334;312;85566;96421;243;12;25248;19866;5382;35.61;43;29.1;11696.75821;7200.711662;4352.581914;143.46463
UTTAR PRADESH;AZAMGARH;447868;510357;316840;369289;140271;949;5788915;5237503;1794241;14230;2604154;36;232.6173325;283;141560;151522;265;26;80278;69834;10444;37.01;63;18.81;18390.07321;12183.33977;5917.48846;289.24498
UTTAR PRADESH;JAUNPUR;471046;516028;324378;358532;128550;1481;7289881;6616721;2145673;24894;3479049;37;229.9252788;706;174650;181763;264;14;66853;59362;7491;31.54;52;31.61;21725.63401;15213.51421;6261.181582;250.93822
UTTAR PRADESH;BALLIA;286920;350570;192893;245009;39265;5126;3209793;3081296;391783;57466;1644876;38;234.0529973;229;81076;89598;99;10;48852;36233;12619;26.21;58;31.37;10392.94676;7211.865644;3007.027102;174.05401
UTTAR PRADESH;GHAZIPUR;433357;567991;313745;424920;109981;3327;5592963;5357673;1205286;44323;2448440;33;230.5203834;498;160328;186207;206;2;47001;40320;6681;31.9;52;41.54;17730.96617;12350.52834;5183.785228;196.6526
UTTAR PRADESH;VARANASI;164604;245190;104654;169463;60544;858;1470351;1300785;363767;5501;718116;30;234.3691234;167;42246;53276;171;0;26226;22688;3538;15.42;60;23.63;4291.800438;3048.638402;1181.937976;61.22406
UTTAR PRADESH;MIRZAPUR;288658;429574;203728;317371;134348;3277;2710027;2435450;914138;25384;1233035;33;227.4859975;351;71817;91732;121;1;33710;27115;6595;15.26;55;37.66;8684.902729;5540.307726;3017.258243;127.33676
UTTAR PRADESH;SONBHADRA;304676;489028;215444;363509;113816;101172;3163166;2878862;896568;746476;1516845;35;234.9382534;786;82077;109302;227;4;47361;40822;6539;24.9;71;35.59;10187.77141;6763.5481;3290.497258;133.72605
UTTAR PRADESH;GAUTAM BUDDHA NAGAR;16222;18674;1176;1408;484;15;8721;3358;1164;51;686;12;224.7843955;0;265;274;0;43;246;246;0;5.18;12;88.17;7.54826;7.54826;0.0;0.0
UTTAR PRADESH;BAGHPAT;22788;30099;5756;7844;2482;14;56380;21774;6155;7;7082;17;226.9998163;2;1274;1446;3;25;2055;2052;3;10.03;10;40.99;51.80496036;49.42694;0.823520358;1.5545
UTTAR PRADESH;HATHRAS;96446;129310;68280;95781;26032;104;998534;731726;188053;1047;160781;27;221.0702897;58;27050;31375;27;13;10440;9080;1360;9.7;13;64.81;2284.800301;1617.628788;619.2161828;47.95533
UTTAR PRADESH;AMROHA;150815;210273;118238;168614;45233;107;2248228;2120663;489057;2075;558972;33;230.5812347;458;63144;74482;125;5;16841;13109;3732;58.51;26;33.59;7982.221497;4889.85093;2993.482887;98.88768
UTTAR PRADESH;KANNAUJ;148830;188668;102839;136388;47186;56;1666108;1372736;333416;626;355415;31;237.0840194;139;44232;48567;122;4;22668;20784;1884;19.2;41;38.81;4279.61537;3254.537684;945.6257263;79.45196
UTTAR PRADESH;AURAIYA;128372;159652;86788;112315;49582;474;1190275;1080292;462631;5985;291650;30;231.9360165;45;35644;39829;39;3;16586;13182;3404;7.32;37;42.45;4210.350256;2505.586231;1627.045385;77.71864
UTTAR PRADESH;KAUSHAMBI;160724;223828;105440;155620;75028;92;1516089;1285685;552288;1140;634231;32;233.0325862;163;39628;46992;115;45;21838;19891;1947;45.08;63;27.1;6334.041226;2996.065006;3272.45884;65.51738
UTTAR PRADESH;CHANDAULI;198146;300248;145870;230126;73171;1057;3622628;3324402;926852;17337;1322277;41;226.886739;1076;80657;106243;197;8;27761;20757;7004;18.63;42;52.96;10894.21436;7542.627288;3208.366032;143.22104
UTTAR PRADESH;KUSHI NAGAR;390209;515083;227509;316864;86773;567;3675831;2985816;745916;5784;1229672;31;237.1031002;145;95106;113584;339;6;37900;29518;8382;15.79;36;42.89;11784.24403;7079.462301;4505.190299;199.59143
UTTAR PRADESH;SANT RAVIDAS NAGAR;131408;185908;82397;121680;48292;387;1217795;1189402;398522;3281;713143;36;235.803978;63;32905;38608;36;13;21874;20679;1195;28.16;66;20.92;4216.445149;2804.65723;1324.545219;87.2427
UTTAR PRADESH;SANT KABEER NAGAR;248911;298695;199104;243301;70911;508;4362974;4342154;1164503;7661;2414255;38;229.274735;601;112117;123173;84;52;48830;43976;4854;36.53;59;30.87;17153.65187;9955.462076;7056.893059;141.29673
UTTAR PRADESH;BALRAMPUR;203293;244483;148239;183633;32133;2998;3093381;2868278;485374;39402;1218192;38;232.7605471;549;74395;82065;102;6;27095;22923;4172;15.83;43;50.05;11119.61174;6676.219564;4262.708831;180.68334
UTTAR PRADESH;SHRAVASTI;134918;192350;94678;142442;43026;896;2071257;1850730;503941;12643;780837;44;235.3029588;582;41470;49672;123;0;16516;14450;2066;21.44;47;47.07;5929.295041;4354.82245;1530.205521;44.26707
UTTAR PRADESH;CHITRAKOOT;156019;263133;111065;195604;85015;29;1456577;1454071;544191;275;680555;36;229.6089033;572;39846;53265;60;7;22053;19810;2243;6.8;70;47.14;5319.77134;3338.676476;1874.122484;106.97238
UTTAR PRADESH;AMBEDKAR NAGAR;280738;374398;180700;253159;97067;593;2929217;2266801;726701;5143;1148157;32;231.6270647;215;69371;78803;106;2;46682;43185;3497;25.97;55;35.09;9812.353874;5250.52462;4389.454274;172.37498
UTTAR PRADESH;MAHOBA;80173;142195;58740;109831;29901;177;878915;885666;151430;1041;360160;43;231.6513641;554;20394;28595;34;1;13829;11445;2384;16.31;59;40.57;4036.387846;2051.65737;1928.021576;56.7089
UTTAR PRADESH;KASHGANJ;123079;173029;94830;138426;26244;92;1680988;1483277;272406;937;396968;30;232.5460709;117;48990;56533;295;1;10832;9488;1344;14.28;25;46.33;5830.278397;3449.302384;2313.215473;67.76054
UTTAR PRADESH;AMETHI;286104;390197;170726;249161;70289;549;2663926;2218971;531106;5205;956870;34;233.967869;280;63576;73963;62;0;41689;32464;9225;25.63;63;25.6;8801.58455;5191.679162;3469.585798;140.31959
UTTAR PRADESH;HAPUR;19004;21177;11171;12421;5368;5;198010;163106;84313;10;68262;32;229.6501478;41;5002;5408;7;3;1750;1566;184;13.68;13;37.37;374.57317;374.57317;0.0;0.0
UTTAR PRADESH;SHAMLI;48899;58076;21554;26723;4400;46;302701;169103;27571;536;56516;28;228.9270445;6;6023;6977;6;2;4691;4394;297;32.9;16;28.23;449.8065459;387.1225;61.4529559;1.23109
UTTAR PRADESH;SAMBHAL;197516;250853;112142;151962;47505;127;1812549;1259002;337925;939;352303;27;231.5062682;160;46597;52757;179;10;20350;17513;2837;9.98;23;55.13;5057.818522;2914.668547;2052.422605;90.72737
UTTARAKHAND;ALMORA;90370;164942;65215;128594;27028;90;860000;392444;86378;222;225176;25;290.906858;45;15696;21243;37;56;11419;10368;1051;24.7;33;43.3;1834.810436;1141.64651;639.4699564;53.69397
UTTARAKHAND;BAGESHWAR;48865;88037;32890;64505;16659;349;501872;283687;89690;1409;150383;30;235.1774702;52;9263;12687;24;14;5491;4815;676;22.32;37;30.64;1258.143072;667.16791;555.4039723;35.57119
UTTARAKHAND;CHAMOLI;81551;128359;69952;112975;18821;2013;1126259;565457;103336;11908;363707;19;262.9513226;45;28570;35013;110;4;16413;12203;4210;17.08;20;53.97;2392.586827;1486.87666;811.2035569;94.50661
UTTARAKHAND;CHAMPAWAT;39753;64907;31223;53592;8317;86;540992;288295;44414;488;140250;26;226.5594721;30;10864;14613;49;1;6652;4178;2474;15.49;38;59.94;1059.699529;653.15963;371.2965394;35.24336
UTTARAKHAND;DEHRADUN;68187;101195;46115;70554;14489;22346;1712465;993114;238170;383158;375869;43;236.2671013;400;22833;28555;17;20;9222;7406;1816;21.5;26;46.34;2570.569317;2346.40166;187.3207673;36.84689
UTTARAKHAND;HARIDWAR;118331;152196;59922;82859;19913;86;1142688;494899;105306;278;211496;23;245.1500425;13;20899;25808;11;38;9199;8145;1054;5.38;42;70.02;1506.079929;1213.245109;256.6188796;36.21594
UTTARAKHAND;NAINITAL;58697;107322;37929;76385;14109;403;568836;294139;56791;959;141373;29;254.7789922;46;9842;15182;16;26;9307;7598;1709;39.07;38;39.12;1698.705337;749.40438;890.7468366;58.55412
UTTARAKHAND;PAURI GARHWAL;106025;179694;88904;156659;20055;110;1335827;682002;105613;639;461309;19;241.7488175;99;34700;40538;86;11;15111;12198;2913;28.91;38;34.36;3181.669878;1648.73177;1452.180698;80.75741
UTTARAKHAND;PITHORAGARH;79592;163074;60944;134356;28007;4077;1214733;643823;142844;15566;329115;30;235.1456099;182;21093;33422;65;11;13717;10750;2967;33.01;43;40.12;2181.901505;1513.92152;604.2816348;63.69835
UTTARAKHAND;RUDRA PRAYAG;51298;85810;41061;72057;12474;21;977123;464757;75392;159;299636;33;234.7330261;198;13764;17246;18;2;7084;5412;1672;17.19;41;59.88;1875.759933;1090.93817;744.3760426;40.44572
UTTARAKHAND;TEHRI GARHWAL;142941;194959;126207;175550;18871;207;2236353;1088150;114498;1592;781353;20;251.2305712;162;53588;61510;94;11;10591;8738;1853;21.14;31;40.46;5349.604027;2733.76546;2503.766297;112.07227
UTTARAKHAND;UDAM SINGH NAGAR;115976;191762;55549;99936;16519;23601;527383;301396;45724;46135;150432;25;254.0132384;19;11648;15224;75;16;6436;4570;1866;16.96;54;57.86;1381.524918;765.58574;576.0318784;39.9073
UTTARAKHAND;UTTAR KASHI;85644;150228;75886;134608;24427;665;2255469;1293642;236853;4075;719619;32;234.5153659;329;39895;57817;259;5;16954;15373;1581;15.42;30;36.03;3538.344614;3033.78927;430.4547341;74.10061
WEST BENGAL;NADIA;766277;1487113;359749;764041;175411;18231;0;1323;30;0;696;17;214.9501134;0;77;79;0;177;24065;23809;256;0.0;55;7.45;450.70022;2.84379;0.0;447.85643
WEST BENGAL;PASCHIM BARDHAMAN;140126;286547;87540;190962;98940;25876;0;30;15;0;30;15;873.0;0;2;2;0;60;2613;2608;5;0.0;29;0.0;163.31533;0.2619;0.0;163.05343
WEST BENGAL;BIRBHUM;677452;1356516;544626;1134882;408762;80875;0;2999;849;116;1125;23;219.5748583;0;128;168;0;150;27450;26931;519;0.3;16;22.83;413.87752;6.58505;0.0;407.29247
